INFO 2025-11-03 02:51:40,369 autoreload Watching for file changes with StatReloader
INFO 2025-11-03 02:57:52,760 autoreload Watching for file changes with StatReloader
INFO 2025-11-03 03:04:48,337 base Adding job tentatively -- it will be properly scheduled when the scheduler starts
INFO 2025-11-03 03:04:48,338 base Adding job tentatively -- it will be properly scheduled when the scheduler starts
INFO 2025-11-03 03:04:48,339 base Adding job tentatively -- it will be properly scheduled when the scheduler starts
INFO 2025-11-03 03:04:48,339 base Adding job tentatively -- it will be properly scheduled when the scheduler starts
INFO 2025-11-03 03:04:48,340 base Adding job tentatively -- it will be properly scheduled when the scheduler starts
INFO 2025-11-03 03:04:48,340 base Adding job tentatively -- it will be properly scheduled when the scheduler starts
INFO 2025-11-03 03:04:48,341 base Adding job tentatively -- it will be properly scheduled when the scheduler starts
INFO 2025-11-03 03:04:48,341 base Adding job tentatively -- it will be properly scheduled when the scheduler starts
INFO 2025-11-03 03:04:48,342 base Added job "self_ping" to job store "default"
INFO 2025-11-03 03:04:48,343 base Added job "restore_user_kill_switches" to job store "default"
INFO 2025-11-03 03:04:48,343 base Added job "restore_super_user_after_market" to job store "default"
INFO 2025-11-03 03:04:48,344 base Added job "auto_order_count_monitoring_process" to job store "default"
INFO 2025-11-03 03:04:48,344 base Added job "autoclosePositionProcess" to job store "default"
INFO 2025-11-03 03:04:48,344 base Added job "autoStopLossLotControlProcess" to job store "default"
INFO 2025-11-03 03:04:48,345 base Added job "check_and_update_daily_account_overview" to job store "default"
INFO 2025-11-03 03:04:48,345 base Added job "update_order_history" to job store "default"
INFO 2025-11-03 03:04:48,345 base Scheduler started
DEBUG 2025-11-03 03:04:48,346 base Looking for jobs to run
INFO 2025-11-03 03:04:48,346 scheduler Scheduler started with jobs: [<Job (id=ec70c6a037ba4cfc9b5dca8f5f4afeb7 name=autoclosePositionProcess)>, <Job (id=eee2a96dee4443d3be91d101acb840b4 name=auto_order_count_monitoring_process)>, <Job (id=732c8e8b0643477d9bb32e962812e7a3 name=autoStopLossLotControlProcess)>, <Job (id=25220ee159a34373b04ac2784a05bd08 name=check_and_update_daily_account_overview)>, <Job (id=61e299b7cd104b178a04abb10e21e033 name=self_ping)>, <Job (id=7053f434ebd6460e8d64c88d32cacf6e name=restore_user_kill_switches)>, <Job (id=8cd6a8be79264d6ba4ba65430d4c3d56 name=restore_super_user_after_market)>, <Job (id=f93259fdbf86403eb08093fcad747095 name=update_order_history)>]
DEBUG 2025-11-03 03:04:48,347 base Next wakeup is due at 2025-11-03 03:04:49.340123+05:30 (in 0.992877 seconds)
INFO 2025-11-03 03:04:48,408 base Adding job tentatively -- it will be properly scheduled when the scheduler starts
